                    - SPARES  LIST -


                    - PART SUMMARY -

RES_0201RES-RESC0603X33M,3.3K,80-003K3-95-3.3K,RESC0603X33M		4
RES_0201RES-RESC0603X33M,5.1K,80-005K1-P0-5.1K,RESC0603X33M		2
RES_0402RES-0402,0,80-0000R-26A-0,0402		1
RES_0402RES-0402,0.01,ER111000002587-0.01,0402		1
RES_0402RES-0402,10K,80-0010K-23-0402,10K		7
RES_0402RES-0402,10K,80-0010K-Q6-0402,10K		1
RES_0402RES-0402,1K,80-0001K-CA54-0402,1K		3
RES_0402RES-0402,1M,80-0001M-18-0402,1M		1
RES_0402RES-0402,22,80-0022R-Q6-0402,22		1
RES_0402RES-0402,25K,80-0025K-BA64-0402,25K		1
RES_0402RES-0402,4.7K,80-004K7-23-0402,4.7K		1
TF13BA-6S_SMD-HRSC_TF13BA-6S-0_4SH,TF13BA-6S-0.4SH,EH111000005235-HRSC_TF13BA-6S-0_4SH,TF13BA-6S-0.4SH		1
THERMISTOR_SMD_0201M-THRMC0603X33M,10K,83-0010K-0AN-10K,THRMC0603X33M		1
TP_TP-KEYS_5001,N/A,02-TPMINI5001-00-KEYS_5001,N/A		2
XTAL_ABS07-XTAL320X150X90M,32.768KHZ,60-32K76-0AL-32.768KHZ,XTAL320X150X90M		1
XTAL_XTALDFN160X100X50-2M-XTALDFN160X100X50-2M,32.7680KHZ,60-32K76-0ET-32.7680KHZ,XTALDFN160X100X50-2M		1
XTAL_XTAL_FA-20H-OSCCC250X200X55M,32MHZ,60-0032M-0EW-32MHZ,OSCCC250X200X55M		1

Total                                     185
